PERSON_AGE,VEHICLE_ID,POSITION_IN_VEHICLE,EJECTION,SAFETY_EQUIPMENT
37.0,19821967.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19823516.0,Driver,Not Ejected,Lap Belt & Harness
43.0,NA,NA,NA,NA
68.0,19821967.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
22.0,19824561.0,Driver,Not Ejected,Lap Belt & Harness
24.0,NA,NA,NA,NA
26.0,19828916.0,Driver,Not Ejected,Helmet (Motorcycle Only)
60.0,19942886.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
32.0,NA,Unknown,Not Ejected,Unknown
19.0,NA,NA,NA,NA
48.0,NA,NA,NA,NA
20.0,NA,NA,NA,NA
29.0,19942886.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Air Bag Deployed/Lap Belt/Harness
59.0,19942886.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt/Harness
25.0,19826969.0,Driver,Not Ejected,Lap Belt & Harness
61.0,NA,NA,NA,NA
33.0,19821988.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19822117.0,Driver,Not Ejected,Unknown
35.0,19823392.0,Driver,Not Ejected,Lap Belt & Harness
33.0,19821986.0,Driver,Not Ejected,Lap Belt & Harness
24.0,19821987.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19821986.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
57.0,19822030.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Trapped,Air Bag Deployed/Lap Belt/Harness
60.0,19822030.0,Driver,Trapped,Air Bag Deployed/Lap Belt/Harness
33.0,19822029.0,Unknown,Not Ejected,None
38.0,19822101.0,Driver,Not Ejected,Lap Belt & Harness
21.0,19823101.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Air Bag Deployed/Lap Belt/Harness
29.0,19823383.0,Driver,Ejected,None
